row_id,engagement_score
89198,4.0730214
89199,4.1036077
89200,2.6750953
89201,3.6374183
89202,2.0435474
89203,3.6340048
89204,3.8253257
89205,3.7838013
89206,2.626615
89207,4.2655306
89208,3.8479993
89209,4.088609
89210,3.010217
89211,4.162137
89212,3.3353493
89213,3.3193884
89214,2.2979915
89215,3.7610197
89216,4.3185134
89217,2.903145
89218,4.264779
89219,2.3619227
89220,2.7684488
89221,3.3532639
89222,3.2513828
89223,4.0077877
89224,3.570878
89225,3.0425198
89226,3.5411363
89227,3.2293155
89228,3.810041
89229,2.8597786
89230,1.4590625
89231,3.793239
89232,3.405248
89233,2.7130191
89234,3.483021
89235,4.0522714
89236,3.1466014
89237,4.268034
89238,4.125658
89239,3.820358
89240,3.738895
89241,3.681466
89242,4.1836634
89243,4.35597
89244,4.232541
89245,3.901905
89246,3.7560954
89247,2.7012556
89248,3.9589117
89249,2.0253165
89250,4.3162575
89251,2.743646
89252,3.72347
89253,2.5023715
89254,3.552421
89255,3.3891926
89256,3.4086416
89257,4.0916715
89258,4.1465354
89259,3.3402233
89260,2.7866054
89261,2.4474556
89262,3.758654
89263,3.8870122
89264,4.103589
89265,2.2018685
89266,3.9520547
89267,3.9655428
89268,3.8541
89269,3.463459
89270,3.894704
89271,3.3941915
89272,4.037647
89273,4.2662954
89274,3.5661938
89275,3.3450377
89276,3.1629457
89277,2.364709
89278,3.714881
89279,2.764972
89280,3.2093642
89281,3.7128203
89282,3.124187
89283,4.3121524
89284,4.265059
89285,3.1236067
89286,3.539108
89287,3.582654
89288,3.9104145
89289,4.037679
89290,4.118788
89291,3.0239985
89292,4.038847
89293,4.1851664
89294,3.65305
89295,3.4329927
89296,3.3614814
89297,3.8966851
89298,3.6084526
89299,4.6659107
89300,4.4043036
89301,3.7595775
89302,3.576475
89303,2.2896526
89304,4.117131
89305,4.21508
89306,3.660545
89307,3.6779735
89308,3.7847788
89309,4.129607
89310,3.332538
89311,2.2611027
89312,3.57134
89313,4.1209803
89314,3.6553388
89315,3.5269215
89316,2.3829815
89317,2.2162685
89318,2.7368984
89319,2.3734953
89320,3.4132664
89321,4.0318804
89322,3.6650317
89323,4.2864776
89324,3.5165565
89325,4.0342774
89326,4.167335
89327,4.1085167
89328,3.3755927
89329,3.4390554
89330,2.7461925
89331,4.535819
89332,3.8383455
89333,4.5148854
89334,3.5954797
89335,3.87688
89336,2.0779223
89337,3.2259247
89338,3.7734022
89339,3.109404
89340,3.6477573
89341,3.3316948
89342,3.7004685
89343,2.3191695
89344,3.161654
89345,3.8225162
89346,3.7607057
89347,3.0112712
89348,3.5017142
89349,3.5653265
89350,3.8305418
89351,2.9528842
89352,3.6784322
89353,4.0903506
89354,2.8124924
89355,4.18188
89356,4.2412043
89357,3.92468
89358,3.340665
89359,3.5249696
89360,3.4087274
89361,4.1746044
89362,3.8025572
89363,2.72863
89364,4.2144566
89365,3.7269635
89366,3.6982276
89367,3.6618314
89368,4.2455063
89369,3.443513
89370,3.639985
89371,4.2762275
89372,3.9219885
89373,2.665413
89374,3.1200883
89375,4.012605
89376,4.2086406
89377,4.138099
89378,4.3489685
89379,3.467444
89380,4.161665
89381,3.6800914
89382,3.9597144
89383,2.5668721
89384,3.7700958
89385,4.68697
89386,3.2337613
89387,3.1474035
89388,4.072208
89389,3.1704986
89390,4.24797
89391,3.9890842
89392,2.990734
89393,2.9911108
89394,3.8112695
89395,3.2727323
89396,3.6757965
89397,3.7469695
89398,3.4705334
89399,2.28787
89400,2.8257036
89401,3.4272456
89402,3.286651
89403,4.1700625
89404,3.3810668
89405,3.0737166
89406,3.9264119
89407,3.9310443
89408,3.2153616
89409,4.044812
89410,2.2782512
89411,3.619663
89412,3.8143702
89413,4.2903585
89414,4.1108227
89415,2.7652333
89416,2.936449
89417,3.5726435
89418,3.1234555
89419,4.1223946
89420,1.9058465
89421,2.7445483
89422,3.2505322
89423,3.5818167
89424,3.571104
89425,3.765784
89426,3.834428
89427,2.8525746
89428,4.0458364
89429,3.6265087
89430,3.68768
89431,3.2066882
89432,3.7615669
89433,4.0418396
89434,4.4068165
89435,2.630423
89436,2.1800635
89437,2.161571
89438,3.566714
89439,2.3899045
89440,4.360712
89441,2.8290398
89442,3.9404516
89443,3.2333763
89444,3.58166
89445,4.5032845
89446,3.6174943
89447,2.2926166
89448,3.088739
89449,2.9869928
89450,2.3095448
89451,4.1270804
89452,4.0793757
89453,3.2409298
89454,2.4428453
89455,3.1166542
89456,2.8423562
89457,3.9165998
89458,4.2401247
89459,2.6257539
89460,3.647607
89461,3.1803877
89462,3.838519
89463,3.0748527
89464,3.5568678
89465,3.7797775
89466,4.3186054
89467,2.9359033
89468,3.559808
89469,2.4260623
89470,1.5353862
89471,3.7862077
89472,4.075874
89473,2.4848478
89474,3.3000002
89475,3.7191505
89476,3.451422
89477,3.353801
89478,3.0635777
89479,2.8220563
89480,3.628215
89481,3.7823722
89482,3.676989
89483,3.5508509
89484,3.398295
89485,3.847674
89486,3.949571
89487,4.3222356
89488,3.189808
89489,4.052898
89490,3.8263597
89491,3.3246133
89492,3.7664032
89493,4.266045
89494,4.21994
89495,3.4239426
89496,2.66628
89497,2.901966
89498,3.467091
89499,3.2913303
89500,3.2616954
89501,3.2479947
89502,2.7127647
89503,4.0313187
89504,2.488912
89505,4.470131
89506,2.8465614
89507,3.8110845
89508,3.0618215
89509,3.7642486
89510,4.1050134
89511,3.9154923
89512,3.9019763
89513,4.193158
89514,3.7197745
89515,3.7381709
89516,2.4138417
89517,3.261766
89518,3.4818172
89519,3.691499
89520,3.8846548
89521,4.2575626
89522,2.0526931
89523,4.0611367
89524,3.635527
89525,4.046238
89526,3.885304
89527,3.2738972
89528,3.8097026
89529,3.36076
89530,3.9498215
89531,3.5526912
89532,4.0628924
89533,2.5803716
89534,3.8748648
89535,3.5939147
89536,3.814975
89537,3.4603472
89538,3.207865
89539,1.9597875
89540,2.6177218
89541,3.275394
89542,3.6960688
89543,3.2596312
89544,4.0332713
89545,2.8909206
89546,4.145238
89547,4.220795
89548,3.2506058
89549,3.1370282
89550,3.7966187
89551,3.476777
89552,3.254526
89553,3.5298445
89554,4.020018
89555,3.261398
89556,2.9369187
89557,3.2216446
89558,3.1443248
89559,3.3110156
89560,3.4334872
89561,4.5706925
89562,3.9780662
89563,3.633488
89564,3.509171
89565,4.0609317
89566,2.6923792
89567,2.3723152
89568,1.8474916
89569,4.2553754
89570,3.119304
89571,3.6311877
89572,3.6453595
89573,3.0387092
89574,3.6403046
89575,3.3598058
89576,3.9847503
89577,3.2732193
89578,4.14989
