row_id,engagement_score
89198,4.0785007
89199,4.027028
89200,2.7252
89201,3.7318454
89202,2.061115
89203,3.832381
89204,3.8651295
89205,3.75261
89206,2.5645938
89207,4.249119
89208,3.8494875
89209,4.0724998
89210,3.0104284
89211,4.2446246
89212,3.332706
89213,3.2515736
89214,2.3434277
89215,3.732175
89216,4.3047647
89217,2.904268
89218,4.2541056
89219,2.4756634
89220,2.798848
89221,3.4583788
89222,3.2690651
89223,4.022676
89224,3.6320295
89225,3.2349234
89226,3.497619
89227,3.1904018
89228,3.7733521
89229,2.9536476
89230,1.7120174
89231,3.5734744
89232,3.352193
89233,2.7073429
89234,3.4682522
89235,4.0469956
89236,3.2825394
89237,4.266134
89238,4.1429834
89239,3.848192
89240,3.6906772
89241,3.7731056
89242,4.1717854
89243,4.2881866
89244,4.22623
89245,3.8908334
89246,3.6397707
89247,2.4683166
89248,3.9094584
89249,2.2432706
89250,4.320615
89251,2.8551161
89252,3.6984584
89253,2.565705
89254,3.5929565
89255,3.5275176
89256,3.3511586
89257,3.9195206
89258,4.083505
89259,3.409007
89260,2.817259
89261,2.526793
89262,3.7816699
89263,3.8783226
89264,4.0428247
89265,2.2476556
89266,3.8117177
89267,3.8974743
89268,3.6673098
89269,3.4702659
89270,3.8916717
89271,3.2969606
89272,3.8313239
89273,4.2706113
89274,3.5796425
89275,3.3336506
89276,3.2845418
89277,2.4233398
89278,3.8965137
89279,2.7549663
89280,3.1895092
89281,3.6137521
89282,3.1596856
89283,4.1238885
89284,4.214085
89285,3.1578183
89286,3.561443
89287,3.5117583
89288,3.9042037
89289,4.0283203
89290,4.0360527
89291,3.0399284
89292,3.955975
89293,4.1835966
89294,3.7008982
89295,3.4270334
89296,3.311172
89297,3.9217646
89298,3.6401298
89299,4.4693704
89300,4.319542
89301,3.925048
89302,3.5765173
89303,2.3224385
89304,4.140893
89305,4.1300488
89306,3.6571517
89307,3.657433
89308,3.8547995
89309,4.129677
89310,3.2689617
89311,2.318478
89312,3.626808
89313,4.157042
89314,3.6831944
89315,3.4392247
89316,2.3279257
89317,2.2234502
89318,2.8117664
89319,2.536787
89320,3.7215252
89321,3.966332
89322,3.5441875
89323,4.437685
89324,3.3801308
89325,4.027732
89326,4.212356
89327,4.18899
89328,3.3022964
89329,3.4305816
89330,2.7342174
89331,4.524865
89332,3.8322222
89333,4.3607645
89334,3.5470283
89335,3.8344376
89336,2.0887663
89337,3.158597
89338,3.7711866
89339,3.0821455
89340,3.5001297
89341,3.330508
89342,3.6831076
89343,2.3736696
